Num,MolWt,ExactMolWt,HeavyAtomMolWt,NumValenceElectrons,NumRadicalElectrons,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,BalabanJ,BertzCT,Chi0,Chi1,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,Chi0n,Chi1n,Chi2n,Chi3n,Chi4n,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,EState_VSA10,EState_VSA11,FractionCSP3,HallKierAlpha,HeavyAtomCount,Kappa1,Kappa2,Kappa3,LabuteASA,MolLogP,MolMR,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,RingCount,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SMR_VSA10,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,TPSA,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,VSA_EState10,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,MP
0,170.205,169.998,163.149,52,0,1.6,2.2,2.6,1,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311.876,13.3618,6.8212,8.2561,1.77062,0.904039,0.347853,0.155198,12.133,5.27062,0.904039,0.347853,0.155198,31.7224,51.3845,0,0,0,0,0,4.73686,9.59531,14.6956,0,0.6,0.576364,10,3.99766,7.68079,8.57636,111.187,-4.3065,26.257,0,4,0,0,0,0,0,0,4,0,5,4,0,0,0,14.6379,4.79454,0,0,0,0,6.85189,6.85379,21.6427,0,0,0,0,57.3538,0,80.4123,0,0,0,13.2248,6.55899,0,0,0,11.9386,56.4911,18.4976,14.3259,0,22.8201,0,0,0,0,0,0,0,66.43,50.4932,21.0085,10.148,0,-4.61809,0,-3.6125,-6.83576,0,0,10.8605,10.8605,0,-3.6125,194
1,681.488,679.148,639.152,216,0,0.641026,1.02564,1.38462,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.40E-06,2534.84,65.0386,35.4683,22.6141,13.8484,9.12435,4.23515,2.73719,60.7918,30.4669,6.38621,4.05614,2.64768,177.047,45.3927,0,0,0,0,0,4.98398,85.4893,2.74152,0,0.40625,-1.53766,39,7.69305,16.6603,9.51505,316.227,11.047,169.158,0,3,0,1,1,2,1,3,3,0,7,14,0,0,0,9.79982,4.98398,0,0,0,102.671,57.9145,74.4538,30.834,0,0,0,0,34.9975,4,73.5113,0,4.98398,0,78.391,16.4206,100.314,0,0,42.0338,9.79982,11.6048,15.9394,0,158.217,73.0372,5.02263,0,0,11.3748,0,30.659,19.37,350.376,1.93668,-0.175,-13.1585,-18.315,-12.0507,-4.89622,-40.1032,9.62778,5.30852,9.50617,9.50617,0.105556,-4.67105,240
2,392.226,389.595,392.226,32,0,0.8,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02372,19.1194,4.5,2,10.4539,20.4101,60.1269,0,0,2.01186,0.755929,0.428571,0,0,5.89865,0,0,0,0,0,0,56.0172,0,0,0,0,2.46286,5,7.46286,2.69296,21.2213,60.91,3.0016,41.462,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.9158,0,0,0,0,0,0,0,0,0,0,61.9158,0,5.89865,0,0,0,0,0,0,0,0,0,56.0172,0,0,0,0,0,-1.75,0,0,0,0,13.25,3.3125,3.3125,1.75,-1.75,26.1
3,264.1,264.048,247.972,90,2,1,1.375,1.5625,0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.87E-07,652.682,26.8783,14.0281,9.10279,3.65812,1.5665,0.454124,0.206229,23.5412,10.8371,1.5665,0.454124,0.206229,62.5965,0,0,20.4043,0,0,0,10.2176,25.3776,9.58907,0,0.4,-1.06571,16,3.71603,13.9343,38.3117,129.237,1.9531,54.8201,2,5,0,0,0,0,0,0,5,2,6,8,0,0,0,10.2176,9.58907,0,0,0,0,27.4076,28.5532,14.2598,0,11.5665,0,2.8624,23.7289,0,62.7262,2.8624,0,0,27.4076,0,23.6225,0,0,11.5665,0,21.7841,33.318,0,46.5982,23.6225,0,2.8624,0,0,0,0,91.67,115.787,21.9807,7.20324,0,-5.825,-2.65741,0,-12.2384,0,0.75,10.9904,10.9904,0.75,-3.11894,200
4,452.315,453.079,428.123,127,1,0.681818,0.954545,1.09091,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.85E-07,1002.76,37.3175,19.5422,12.7525,4.22474,2.34974,0.681186,0.309343,34.3275,15.9495,2.34974,0.681186,0.309343,93.8948,49.3767,0,0,0,0,0,15.3264,33.0795,14.3836,0,0.4,-0.785584,22,5.10335,18.2639,50.6879,205.679,3.1116,81.2004,3,6,0,0,0,0,0,0,6,3,7,12,0,0,0,15.3264,14.3836,0,0,0,0,41.1114,92.2066,21.3898,0,17.3497,0,4.2936,0,0,107.873,4.2936,0,0,41.1114,0,35.4337,0,0,17.3497,0,32.6762,14.3836,49.3767,69.8973,35.4337,0,4.2936,0,0,0,0,111.9,161.305,32.9711,10.8049,0,-8.7375,-3.98611,0,-18.3576,0,0,10.9904,10.9904,0,-3.11894,187
5,96.011,96.0399,90.971,36,0,2.14286,2.71429,2.71429,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.812,9.28446,4.75404,3.72474,1.11237,0.616582,0.185395,0,8.72474,3.52062,0.616582,0.185395,0,18.9012,18.8606,0,0,0,0,0,5.10881,6.91423,9.90106,0,0.666667,0.0274026,7,2.53909,4.19331,6.0274,60.6282,-4.8789,16.6878,1,3,0,0,0,0,0,0,3,1,4,3,0,0,0,15.0099,0,0,0,0,0,6.85189,4.11228,13.4201,0,0,1.4312,0,18.8606,0,39.3535,1.4312,0,0,12.9319,0,0,0,0,5.96931,23.9671,18.5893,4.79454,0,12.3349,0,0,0,0,0,0,0,60.36,32.2043,9.99535,13.2511,0,-2.25694,0,-3.29861,-3.22859,0,0,9.99535,9.99535,0,-3.29861,75
6,308.293,308.063,288.133,112,0,0.888889,1.11111,1.11111,2,2,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.13E-08,449.449,32.1044,16.5791,10.4062,2.22474,1.23316,0.370791,0,28.1978,11.1237,1.23316,0.370791,0,37.8024,37.7382,0,0,0,0,0,37.6214,28.1405,19.8021,0,0.666667,-0.0802597,18,5.73064,30.1809,56.4985,161.729,-8.2701,57.1986,12,11,0,0,0,0,0,0,6,2,12,6,0,0,0,57.4235,0,0,0,0,0,13.7038,8.22455,26.8402,0,0,17.1744,0,37.7382,0,68.3896,17.1744,0,0,25.8638,0,0,0,0,49.6768,10.2131,116.633,9.58907,0,24.6699,0,0,0,0,0,0,0,278.22,118.159,19.9907,26.5023,13.75,-4.51389,0,-6.59722,-6.45718,0,0,9.99535,9.99535,0,-3.29861,240
7,323.37,323.927,323.37,34,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-4.00E-08,68.671,5.41421,2.82843,8.7314,1.67196,0.547723,0,0,3.21092,0.855462,0.182574,0,0,0,27.2988,0,0,10.8025,0,0,25.2576,10.5238,0,0,0,0.342078,7,15.6634,32.9951,1021.83,73.4879,-0.35204,31.71,0,2,0,0,0,0,0,0,4,0,5,0,0,0,0,25.2576,0,10.5238,0,0,10.8025,0,0,0,0,0,0,0,27.2988,0,0,10.5238,0,0,0,0,0,0,10.8025,52.5564,0,27.2988,25.2576,21.3263,0,0,0,0,0,0,0,0,47.58,0,0,16.9352,0,0,0,0,0,0,7.39815,7.13426,7.13426,0,0,190
8,138.537,138.126,120.393,52,0,1.11111,1.55556,1.66667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.11E-07,401.258,22.1547,10.8868,6.12132,1.5,0.5,0.125,0,22.7071,10.5,0.5,0.125,0,52.9472,23.0528,0,0,0,0,0,0,24.6737,0,0,0.75,0.766234,9,1.22358,23.2747,52.448,101.859,2.86038,46.284,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,13.7517,0,5.48303,12.7458,0,26.4496,5.48303,13.7076,0,0,0,0,0,23.0528,0,24.6737,0,0,0,39.1955,0,13.7517,0,0,23.0528,0,23.0528,0,13.7517,63.8691,0,0,0,0,0,0,0,0,122.621,0,0,0,0,0,-12.6447,-9.14306,0,0,6.97917,6.97917,0,-3.22338,-71
9,796.706,796.036,766.466,156,4,0.461538,0.692308,0.807692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.02E-07,1126.93,40.7735,21.2201,19.9925,5,3.75,2.5,1.25,42.1785,20,3.75,2.5,1.25,124.153,89.8389,0,0,0,0,0,0,41.1228,0,0,0.5,1.1587,26,7.10072,17.0543,8.66786,254.841,-6.0938,91.44,0,0,0,0,0,2,0,2,0,0,6,10,0,0,0,49.6281,0,0,55.6345,0,68.5189,0,41.1228,0,0,0,0,0,40.2107,2,130.962,0,0,0,68.5189,0,55.6345,0,0,0,49.6281,0,40.2107,68.5189,96.7573,0,0,0,0,0,0,0,0,224.986,0,0,-12.456,0,0,0,-33.3634,0,0,7.49954,7.49954,0,-3.33634,245
10,301.074,302.203,264.786,104,0,0.470588,0.764706,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3618,1121.09,44.5,22,10.5981,8.19615,7.49519,5.44615,3.57235,44.5,22,2.25,1.25,0.6875,112.479,0,0,0,0,0,0,0,49.3473,0,0,1,0.542857,17,1.73898,11.623,8.29064,163.895,6.6356,84.614,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.826,0,49.3473,0,0,0,99.2126,0,0,0,0,13.2661,0,13.2661,0,0,127.738,0,20.8217,0,0,0,0,0,0,293.684,0,-23.2384,0,0,0,-41.6224,-18.2424,0,-10.0808,10.0808,8.93376,4.56061,-10.0808,-74.1
11,325.512,326.082,298.296,86,0,0.714286,1.07143,1.35714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.53794,840.624,34.5,17,10.488,11.0843,11.4859,6.81326,3.94177,33.878,16.689,1.78347,0.891737,0.445868,89.21,0,0,0,0,0,0,0,45.9316,0,0,1,1.0887,14,1.77398,9.32443,7.38948,136.327,5.571,70.752,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.142,0,37.0105,0,0,0,71.9598,0,0,0,0,26.1714,0,17.2503,0,0,95.8037,0,13.1665,0,0,0,0,8.92117,0,197.154,0,0,0,0,0,-27.6858,-12.4834,6.25023,-8.71393,8.71393,8.43424,4.16114,-8.71393,-9
12,339.381,340.007,324.261,98,0,0.45,0.65,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77997,1165.47,26.8923,16.0263,12.732,11.3431,12.5146,11.3896,7.64335,24.878,12.939,3.65847,2.53347,1.64174,116.161,0,0,0,0,0,0,0,30.571,0,0,0,-1.50714,20,4.49204,5.86112,2.41436,147.214,2.8923,89.835,0,0,0,0,0,3,0,3,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.732,3,20.5614,0,0,0,0,0,90.6363,0,0,35.5342,13.1878,12.3368,0,0,20.5614,90.6363,0,0,0,0,0,10.0096,0,120.783,0,0,0,0,-12.5158,0,0,7.11984,-5.77556,8.45419,8.45419,0.64377,-5.77556,114
13,150.218,150.008,143.162,44,0,1.55556,2.22222,2.66667,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343.276,12.3868,6.58611,7.9396,1.65825,0.787457,0.289562,0.113531,11.8165,5.15825,0.787457,0.289562,0.113531,37.0295,51.3845,0,0,0,0,0,0,9.59531,9.90106,0,0.166667,0.586364,9,3.32184,8.58636,11.9355,106.898,-3.1274,28.961,0,2,0,0,0,0,0,0,2,0,3,3,0,0,0,9.90106,0,0,0,0,18.1562,12.904,4.11228,11.4523,0,0,0,0,51.3845,0,70.8809,0,0,0,6.85189,0,24.2083,0,0,5.96931,56.4911,5.96931,4.79454,0,16.4472,24.2083,0,0,0,0,0,0,40.13,48.0056,10.1332,10.1332,0,-1.99714,-4.78442,0,-2.90715,0,0,10.1332,10.1332,0,-2.90715,270
14,202.967,201.885,199.943,42,0,1.83333,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.987,7,3.25,4.73325,2.11237,1.36237,0,0,5.4345,2.20412,0.454124,0,0,16.3021,22.3803,0,0,0,0,0,0,4.11228,12.9705,0,1,0.65026,6,3.62763,2.76278,146.538,56.2162,-0.8411,15.6212,0,3,0,0,0,0,0,0,3,0,5,1,0,0,0,4.55275,0,8.4178,0,0,0,0,10.2962,10.1181,0,0,0,0,22.3803,0,39.4631,0,0,0,0,6.18392,0,0,0,10.1181,0,19.1545,32.4984,0,4.11228,0,0,0,0,0,0,0,57.2,46.6528,0,0,0,0,0,-3.39583,0,-5.09028,0,9.53472,9.53472,0,-5.09028,252
15,76.642,77.9525,72.61,8,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02372,19.1194,4.5,2,2.59808,0,0,0,0,4.5,2,0,0,0,17.042,0,0,0,0,0,0,0,3.70938,0,0,0,0.542857,1,0.0220312,0.384962,3.91128,21.8532,-1.4516,11.334,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7514,0,0,3.70938,0,0,0,0,0,0,0,17.042,0,20.7514,0,0,0,0,0,0,0,0,0,0,0,24.5,0,0,0,0,0,0,0,0,-4,6.125,6.125,4,-4,-165
16,110.153,109.977,107.129,28,0,1.83333,2.33333,2.33333,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.993,6.73205,3.55342,6.4396,0.908248,0.412457,0.102062,0,6.3165,2.40825,0.412457,0.102062,0,18.5524,51.3845,0,0,0,0,0,0,4.11228,9.90106,0,0,0.846364,6,3.80097,5.84636,8.84985,82.8728,-4.0737,15.204,0,2,0,0,0,0,0,0,2,0,3,1,0,0,0,9.90106,0,0,0,0,6.53104,6.05207,0,10.0816,0,0,0,0,51.3845,0,65.3979,0,0,0,0,0,12.5831,0,0,5.96931,56.4911,5.96931,4.79454,0,4.11228,12.5831,0,0,0,0,0,0,40.13,18.8281,9.54426,9.54426,0,-1.78704,-1.09259,0,-1.03704,0,0,9.54426,9.54426,0,-1.78704,194
17,270.939,272.04,252.795,68,0,0.909091,1.36364,1.72727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.81895,562.331,24.5,12,8.11003,7.38956,6.0302,3.06978,1.68202,23.2559,11.378,1.32439,0.563982,0.250741,67.4943,0,0,0,0,0,0,0,24.6737,0,5.73411,1,0.658701,11,1.61267,6.20531,7.03398,99.0899,3.9678,47.4,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.9021,0,30.4078,0,0,0,47.9732,0,0,0,0,19.5212,0,19.5212,0,0,63.8691,0,8.77769,0,0,5.73411,0,0,0,150.952,0,0,0,0,0,-17.7289,-7.96265,0,-8.85077,15.0869,15.0869,3.98132,-8.85077,157
18,1058.56,1059.11,1028.32,347,0,0.344828,0.482759,0.586207,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.98E-07,2241.03,72.6962,36.6782,27.3688,11.9434,9.53938,4.80957,1.78787,55.654,26.9434,9.53938,4.80957,1.78787,184.76,46.9235,0,0,0,0,0,0,41.1228,121.902,0,0.7,-2.32052,58,24.9527,19.1612,14.9927,394.499,8.0361,145.482,0,6,0,0,0,0,0,0,6,0,28,9,0,0,0,15.3196,14.3836,0,92.1987,17.2775,61.667,34.4012,37.0105,4.11228,0,0,17.3497,0,100.988,0,209.948,0,0,16.245,115.731,0,35.4337,0,0,17.3497,15.3196,71.4138,14.3836,63.1684,102.79,35.4337,0,0,0,92.1987,0,0,120.39,479.005,34.2021,36.5553,-14.2401,-63.3725,-9.49361,-21.2361,-40.1697,0,0,13.4452,13.4452,0,-7.16045,108
19,178.21,177.973,171.154,50,0,1.77778,2.33333,2.66667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340.786,12.7071,6.31066,8.17423,3.22474,2.09974,0.681186,0.375,11.5412,4.8165,0.783248,0.227062,0.0833333,40.4337,29.5573,0,0,0,0,0,0,9.34835,12.9705,0,1,1.26,9,3.77799,6.00173,12.4548,92.1819,-3.1445,33.0342,0,3,0,0,0,0,0,0,4,1,6,4,0,0,0,4.55275,0,8.4178,12.5327,0,0,12.0779,13.9295,10.1181,1.1238,0,0,0,29.5573,0,50.7524,1.1238,0,0,6.37292,11.4099,0,0,0,22.6508,29.5573,25.5043,10.1181,0,14.5975,0,0,0,0,0,0,12.5327,57.2,79.3772,0,0,-7.10563,0,0,-3.63194,0,-5.68162,-0.457986,10.4545,10.4545,0,-5.68162,220
20,170.14,170.055,159.052,60,0,1,1.27273,1.63636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.36E-07,285.583,17.5854,9.70674,7.63299,1.70412,0.954124,0.477062,0.238531,16.633,6.65361,0.954124,0.477062,0.238531,35.9616,29.5573,0,0,0,0,0,16.4423,15.441,5.10653,0,0,-0.1,11,3.33419,12.565,9.9,103.056,-4.7099,36.7294,6,4,0,0,0,1,0,1,1,0,5,0,0,0,0,21.5488,0,0,0,5.74951,30.2121,0,0,6.85379,0,0,8.5872,0,29.5573,1,57.9599,8.5872,0,0,0,0,30.2121,0,5.74951,0,34.6638,25.0295,0,0,6.85379,30.2121,0,0,0,0,5.74951,0,117.56,67.4048,0,10.8641,8.25,-0.957407,-3.06148,0,0,0,0,10.8641,10.8641,0,-0.957407,61
21,156.249,156.146,135.081,60,0,0.8,1.2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51731,554.889,26.0774,12.866,6.23205,4.09808,2.97308,1.94856,0.974279,26.0774,12.866,1.24103,0.649519,0.32476,69.5279,0,0,0,0,0,0,0,28.7859,0,0,1,0.532468,10,1.02664,7.63737,5.32768,99.9132,3.7112,51.048,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,55.3791,0,28.7859,0,0,0,0,14.1487,0,0,28.7859,0,0,0,55.3791,0,0,0,0,14.1487,0,14.1487,0,0,68.4604,0,15.7047,0,0,0,0,0,0,159.509,0,-12.6177,0,0,0,-12.3951,-11.7283,0,-5.74049,8.03476,8.03476,3.90942,-5.74049,-107
